"","x"
"1405","improve stroke"
"1406","improve treatment"
"1407","improved access"
"1408","improved clinical"
"1409","improved health"
"1410","improved health outcomes"
"1411","improved outcomes"
"1412","improved patient"
"1413","improved quality"
"1414","improves access"
"1415","improves patient"
"1416","improving access"
"1417","improving clinical"
"1418","improving health"
"1419","improving health outcomes"
"1420","improving outcomes"
"1421","improving patient"
"1422","improving patient outcomes"
"1423","improving quality"
"1424","in-person consultation"
"1425","in-person delivery"
"1426","in-person group"
"1427","in-person service"
"1428","in-person services"
"1429","in-person treatment"
"1430","in-person visit"
"1431","in-person visits"
"1432","inadequate evidence"
"1433","inadequate information"
"1434","included articles"
"1435","included patient"
"1436","included patients"
"1437","included people"
"1438","included persons"
"1439","included physical"
"1440","included physical activity"
"1441","included reviews"
"1442","included studies"
"1443","included study"
"1444","included systematic"
"1445","included trials"
"1446","including chronic"
"1447","including electronic"
"1448","including medline"
"1449","including mobile"
"1450","including patient"
"1451","including patients"
"1452","including pubmed"
"1453","including telemonitoring"
"1454","inclusion criteria"
"1455","income countries"
"1456","increase access"
"1457","increase patient"
"1458","increased access"
"1459","increased patient"
"1460","increased significantly"
"1461","increases access"
"1462","increasing access"
"1463","increasing demand"
"1464","increasing interest"
"1465","increasing number"
"1466","incremental cost-effectiveness"
"1467","incremental cost-effectiveness ratio"
"1468","independent reviewer"
"1469","independent reviewers"
"1470","independently assessed"
"1471","independently extracted"
"1472","independently reviewed"
"1473","independently screen"
"1474","independently screened"
"1475","individual patient"
"1476","individual patients"
"1477","individual quality"
"1478","individual studies"
"1479","individual study"
"1480","individually tailored"
"1481","individuals living"
"1482","infection control"
"1483","infectious disease"
"1484","inflammatory bowel"
"1485","inform decisions"
"1486","inform future"
"1487","inform policy"
"1488","informal caregivers"
"1489","information exchange"
"1490","information system"
"1491","information technologies"
"1492","initial consultation"
"1493","initial review"
"1494","initial search"
"1495","initially identified"
"1496","innovative approach"
"1497","innovative approaches"
"1498","innovative model"
"1499","innovative solution"
"1500","innovative technologies"
"1501","inpatient hospital"
"1502","insufficient evidence"
"1503","insurance portability"
"1504","integrated health"
"1505","integrative review"
"1506","intention-to-treat analyses"
"1507","intention-to-treat protocols"
"1508","interactive telemedicine"
"1509","interactive video"
"1510","interactive voice"
"1511","interactive voice response"
"1512","international agency"
"1513","international clinical"
"1514","international clinical trials"
"1515","international clinical trials registry"
"1516","international clinical trials registry platform"
"1517","international guidelines"
"1518","international prospective"
"1519","international prospective register"
"1520","internet-based interventions"
"1521","internet access"
"1522","internet connectivity"
"1523","internet search"
"1524","interquartile range"
"1525","intervention component"
"1526","intervention components"
"1527","intervention effect"
"1528","intervention group"
"1529","intervention groups"
"1530","intervention period"
"1531","intervention strategies"
"1532","intervention studies"
"1533","interventions aimed"
"1534","interventions compared"
"1535","interventions delivered"
"1536","interventions designed"
"1537","interventions focused"
"1538","interventions include"
"1539","interventions included"
"1540","interventions provide"
"1541","interventions targeting"
"1542","interventions varied"
"1543","intimate partner"
"1544","intravenous thrombolysis"
"1545","intravenous tissue"
"1546","intravenous tissue plasminogen"
"1547","intravenous tissue plasminogen activator"
"1548","ischemic stroke patients"
"1549","issues included"
"1550","issues related"
"1551","iterative process"
"1552","joanna briggs"
"1553","joanna briggs institute"
"1554","journal articles"
"1555","language articles"
"1556","language literature"
"1557","language publications"
"1558","language restriction"
"1559","language studies"
"1560","large number"
"1561","large vessel"
"1562","large vessel occlusion"
"1563","legal issues"
"1564","lessons learned"
"1565","lessons learnt"
"1566","level evidence"
"1567","library databases"
"1568","lifestyle change"
"1569","lifestyle intervention"
"1570","lifestyle interventions"
"1571","limited access"
"1572","limited availability"
"1573","limited evidence"
"1574","limited number"
"1575","limited research"
"1576","limited resource"
"1577","limited resources"
"1578","lipid profile"
"1579","literature analysis"
"1580","literature published"
"1581","literature search"
"1582","literature search identified"
"1583","literature searches"
"1584","literature surrounding"
"1585","literature surrounding treatment"
"1586","literature surrounding treatment strategies"
"1587","local health"
"1588","logistic regression"
"1589","long-term condition"
"1590","long-term conditions"
"1591","long-term effects"
"1592","long-term outcomes"
"1593","long-term oxygen"
"1594","long-term oxygen therapy"
"1595","long-term studies"
"1596","longer duration"
"1597","low-quality evidence"
"1598","lower mortality"
"1599","major challenge"
"1600","major depressive"
"1601","major depressive disorder"
"1602","major public"
"1603","major public health"
"1604","manage patient"
"1605","manage patients"
"1606","management approach"
"1607","management intervention"
"1608","management options"
"1609","management program"
"1610","management programme"
"1611","management programmes"
"1612","management programs"
"1613","management strategies"
"1614","management support"
"1615","management system"
"1616","managing patients"
"1617","manual search"
"1618","manual searches"
"1619","maternal health"
"1620","measures include"
"1621","measures included"
"1622","mechanical ventilation"
"1623","medica database"
"1624","medical advice"
"1625","medical advisory"
"1626","medical advisory secretariat"
"1627","medical application"
"1628","medical center"
"1629","medical centers"
"1630","medical condition"
"1631","medical conditions"
"1632","medical consultation"
"1633","medical decision"
"1634","medical device"
"1635","medical devices"
"1636","medical field"
"1637","medical information"
"1638","medical interventions"
"1639","medical literature"
"1640","medical literature analysis"
"1641","medical management"
"1642","medical practice"
"1643","medical professional"
"1644","medical professionals"
"1645","medical record"
"1646","medical research"
"1647","medical research council"
"1648","medical service"
"1649","medical services"
"1650","medical specialties"
"1651","medical staff"
"1652","medical students"
"1653","medical subject"
"1654","medical subject headings"
"1655","medical therapy"
"1656","medically underserved"
"1657","medication management"
"1658","medicine consultation"
"1659","medicine practice"
"1660","medicine services"
"1661","medline in-process"
"1662","meeting inclusion"
"1663","meeting inclusion criteria"
"1664","mega-analysis series"
"1665","mental health conditions"
"1666","mental health disorders"
"1667","mental health interventions"
"1668","mental health issues"
"1669","mental health outcomes"
"1670","mental health problems"
"1671","mental health service"
"1672","mental health specialist"
"1673","mental health specialists"
"1674","mental health treatment"
"1675","mental healthcare"
"1676","mental illness"
"1677","message service"
"1678","meta-analyses guidelines"
"1679","methodological issues"
"1680","methodological limitations"
"1681","methodological problems"
"1682","methodological quality"
"1683","mhealth applications"
"1684","mhealth initiatives"
"1685","mhealth interventions"
"1686","mhealth technologies"
"1687","mhealth technology"
"1688","middle income"
"1689","million people"
"1690","minute walking"
"1691","mixed method"
"1692","mixed results"
"1693","mobile device"
"1694","mobile devices"
"1695","mobile health application"
"1696","mobile health technologies"
"1697","mobile health technology"
"1698","mobile interventions"
"1699","mobile stroke"
"1700","mobile stroke units"
"1701","mobile technologies"
"1702","moderate quality"
"1703","monitor patient"
"1704","monitor symptoms"
"1705","monitoring combined"
"1706","monitoring devices"
"1707","monitoring interventions"
"1708","monitoring strategies"
"1709","monitoring system"
"1710","monitoring systems"
"1711","monitoring technologies"
"1712","month follow-up"
"1713","mortality rates"
"1714","multidisciplinary approach"
"1715","musculoskeletal conditions"
"1716","narrative review"
"1717","narrative synthesis"
"1718","national guidelines"
"1719","national health"
"1720","national health service"
"1721","national institute"
"1722","national institutes"
"1723","national level"
"1724","natural history"
"1725","needed based"
"1726","negative impact"
"1727","negative pressure"
"1728","negative pressure ventilation"
"1729","negatively impact"
"1730","nervous system"
"1731","neurological disease"
"1732","neurological diseases"
"1733","neurological disorders"
"1734","neuromuscular disease"
"1735","non-communicable diseases"
"1736","non-english language"
"1737","non-english language publications"
"1738","non-english papers"
"1739","non-indexed citations"
"1740","noninvasive negative"
"1741","noninvasive negative pressure"
"1742","noninvasive negative pressure ventilation"
"1743","noninvasive positive"
"1744","noninvasive positive pressure"
"1745","noninvasive positive pressure ventilation"
"1746","noninvasive ventilation"
"1747","nonsignificant reduction"
"1748","north america"
"1749","numerous studies"
"1750","nurse practitioner"
"1751","nursing practice"
"1752","objective measures"
"1753","observational studies"
"1754","obstructive pulmonary"
"1755","obstructive pulmonary disease"
"1756","obstructive pulmonary disease mega-analysis"
"1757","obstructive pulmonary disease mega-analysis series"
"1758","obstructive pulmonary disease patients"
"1759","obstructive sleep"
"1760","obtained full-text"
"1761","obtained full-text articles"
"1762","office visit"
"1763","office visits"
"1764","older patients"
"1765","online resources"
"1766","online survey"
"1767","ontario policy"
"1768","ontario policy model"
"1769","original articles"
"1770","original research"
"1771","orthopaedic surgeon"
"1772","orthopaedic surgeons"
"1773","outcome measure"
"1774","outcome measurement"
"1775","outcome measures included"
"1776","outcomes assessed"
"1777","outcomes compared"
"1778","outcomes include"
"1779","outcomes included"
"1780","outcomes related"
"1781","outpatient clinic"
"1782","outpatient clinics"
"1783","outpatient consultation"
"1784","outpatient consultations"
"1785","outpatient service"
"1786","outpatient services"
"1787","outpatient setting"
"1788","outpatient settings"
"1789","overcome barriers"
"1790","oxygen saturation"
"1791","oxygen supplementation"
"1792","oxygen therapy"
"1793","oxygen uptake"
"1794","paper discusses"
"1795","papers published"
"1796","paradigm shift"
"1797","partial pressure"
"1798","participant satisfaction"
"1799","participants ranged"
"1800","participants reported"
"1801","partner violence"
"1802","patient-reported outcome"
"1803","patient-reported outcomes"
"1804","patient access"
"1805","patient assessment"
"1806","patient characteristics"
"1807","patient communication"
"1808","patient consultation"
"1809","patient consultations"
"1810","patient contact"
"1811","patient encounter"
"1812","patient experience"
"1813","patient experiences"
"1814","patient group"
"1815","patient groups"
"1816","patient health"
"1817","patient health outcomes"
"1818","patient information"
"1819","patient knowledge"
"1820","patient monitoring"
"1821","patient motivation"
"1822","patient outcome"
"1823","patient parameters"
"1824","patient perspective"
"1825","patient perspectives"
"1826","patient population"
"1827","patient populations"
"1828","patient portal"
"1829","patient self-management"
"1830","patient summary"
"1831","patient transfer"
"1832","patient treatment"
"1833","patient visits"
"1834","patients diagnosed"
"1835","patients evaluated"
"1836","patients experience"
"1837","patients experiencing"
"1838","patients include"
"1839","patients living"
"1840","patients present"
"1841","patients presenting"
"1842","patients receive"
"1843","patients received"
"1844","patients receiving"
"1845","patients report"
"1846","patients reported"
"1847","patients requiring"
"1848","patients separately"
"1849","patients suffering"
"1850","patients treated"
"1851","patients undergoing"
"1852","pediatric patient"
"1853","pediatric patients"
"1854","pediatric population"
"1855","peer-reviewed articles"
"1856","peer-reviewed journal"
"1857","peer-reviewed journals"
"1858","peer-reviewed literature"
"1859","peer-reviewed publications"
"1860","peer-reviewed studies"
"1861","people living"
"1862","people worldwide"
"1863","percent predicted"
"1864","percent predicted forced"
"1865","percent predicted forced expiratory"
"1866","percent predicted forced expiratory volume"
"1867","performed exclusively"
"1868","personal health"
"1869","personal protective"
"1870","pharmacological intervention"
"1871","pharmacological interventions"
"1872","pharmacological treatment"
"1873","phone applications"
"1874","phone calls"
"1875","phone consultations"
"1876","phone intervention"
"1877","physical activity level"
"1878","physical distancing"
"1879","physical exercise"
"1880","physical functioning"
"1881","physically present"
"1882","physician assistant"
"1883","physiotherapy evidence"
"1884","physiotherapy evidence database"
"1885","pilot project"
"1886","pilot studies"
"1887","pilot study"
"1888","plasminogen activator"
"1889","pneumococcal vaccinations"
"1890","policy makers"
"1891","policy model"
"1892","pooled results"
"1893","pooled results showed"
"1894","population health"
"1895","positive airway"
"1896","positive airway pressure"
"1897","positive effect"
"1898","positive effects"
"1899","positive impact"
"1900","positive outcomes"
"1901","positive patient"
"1902","positive pressure"
"1903","positive pressure ventilation"
"1904","positive results"
"1905","post-traumatic stress"
"1906","post-traumatic stress disorder"
"1907","postpartum depression"
"1908","posttraumatic stress"
"1909","potential applications"
"1910","potential barriers"
"1911","potential benefit"
"1912","potential benefits"
"1913","potential harms"
"1914","potential solution"
"1915","potential solutions"
"1916","potentially eligible"
"1917","potentially reduce"
"1918","potentially relevant"
"1919","practice guideline"
"1920","practice implications"
"1921","practice models"
"1922","predicted forced"
"1923","predicted forced expiratory"
"1924","predicted forced expiratory volume"
"1925","preferred reporting"
"1926","preferred reporting items"
"1927","pregnant women"
"1928","prehospital setting"
"1929","prehospital stroke"
"1930","preliminary evidence"
"1931","preliminary results"
"1932","premature infant"
"1933","premature infants"
"1934","present review"
"1935","present study"
"1936","pressure control"
"1937","pressure support"
"1938","pressure telemonitoring"
"1939","pressure ventilation"
"1940","prevention program"
"1941","prevention strategies"
"1942","previous review"
"1943","previous studies"
"1944","primary health"
"1945","primary objective"
"1946","primary outcome"
"1947","primary outcome measure"
"1948","primary outcomes"
"1949","primary research"
"1950","primary studies"
"1951","priori subgroup"
"1952","priori subgroup analyses"
"1953","prisma guidelines"
"1954","process evaluation"
"1955","professional education"
"1956","program evaluation"
"1957","programs offer"
"1958","project emerged"
"1959","promising approach"
"1960","promising results"
"1961","prospective cohort"
"1962","prospective register"
"1963","prospective studies"
"1964","protective equipment"
"1965","proven effective"
"1966","provide access"
"1967","provide additional"
"1968","provide clinical"
"1969","provide effective"
"1970","provide evidence"
"1971","provide guidance"
"1972","provide health"
"1973","provide information"
"1974","provide medical"
"1975","provide patient"
"1976","provide patients"
"1977","provide recommendations"
"1978","provide remote"
"1979","provide support"
"1980","provide timely"
"1981","provided remote"
"1982","provided remotely"
"1983","provider communication"
"1984","provider perspectives"
"1985","provider satisfaction"
"1986","providing health"
"1987","providing services"
"1988","psychiatric disorder"
"1989","psychiatric disorders"
"1990","psychiatric services"
"1991","psychiatric treatment"
"1992","psychiatry services"
"1993","psychological interventions"
"1994","psychological support"
"1995","psychological treatment"
"1996","psychosocial outcomes"
"1997","psychosocial support"
"1998","public awareness"
"1999","public health emergency"
"2000","publicly accessed"
"2001","published articles"
"2002","published literature"
"2003","published papers"
"2004","published studies"
"2005","pubmed database"
"2006","pulmonary disease mega-analysis"
"2007","pulmonary disease mega-analysis series"
"2008","pulmonary disease patients"
"2009","pulmonary rehabilitation program"
"2010","pulse oximeter"
"2011","qualitative analysis"
"2012","qualitative content"
"2013","qualitative content analysis"
"2014","qualitative empirical"
"2015","qualitative empirical literature"
"2016","qualitative evidence"
"2017","qualitative literature"
"2018","qualitative review"
"2019","qualitative studies"
"2020","qualitative synthesis"
"2021","quality assurance"
"2022","quality evidence"
"2023","quality health"
"2024","quality measures"
"2025","quality rating"
"2026","quality research"
"2027","quality review"
"2028","quality studies"
"2029","quantitative studies"
"2030","quasi-experimental studies"
"2031","questions remain"
"2032","random-effects meta-analysis"
"2033","random-effects model"
"2034","random effect"
"2035","random effects"
"2036","random effects model"
"2037","random effects models"
"2038","randomised control"
"2039","randomised controlled"
"2040","randomised controlled trial"
"2041","randomised controlled trial background"
"2042","randomised controlled trials"
"2043","randomised trial"
"2044","randomised trials"
"2045","randomized clinical"
"2046","randomized clinical trial"
"2047","randomized clinical trials"
"2048","randomized control"
"2049","randomized control trial"
"2050","randomized control trials"
"2051","randomized controlled"
"2052","randomized controlled studies"
"2053","randomized controlled trial background"
"2054","randomized controlled trials"
"2055","randomized controlled trials evaluating"
"2056","randomized controlled trials published"
"2057","randomized studies"
"2058","randomized trial"
"2059","randomized trials"
"2060","randomly assigned"
"2061","rapid review"
"2062","rapidly developing"
"2063","rapidly evolving"
"2064","rapidly expanding"
"2065","rating scale"
"2066","readmission rates"
"2067","real-time interactive"
"2068","real-time video"
"2069","real-time videoconferencing"
"2070","receive treatment"
"2071","received usual"
"2072","recent advances"
"2073","recent development"
"2074","recent developments"
"2075","recent evidence"
"2076","recent findings"
"2077","recent studies"
"2078","recent years"
"2079","recombinant tissue"
"2080","recombinant tissue plasminogen"
"2081","recombinant tissue plasminogen activator"
"2082","recommendations assessment"
"2083","reduce costs"
"2084","reduce health"
"2085","reduce healthcare"
"2086","reduced access"
"2087","reduced costs"
"2088","reduced travel"
"2089","reducing health"
"2090","reducing hospital"
"2091","reference lists"
"2092","registration number"
"2093","registry platform"
"2094","regression model"
"2095","rehabilitation intervention"
"2096","rehabilitation interventions"
"2097","rehabilitation process"
"2098","rehabilitation program"
"2099","rehabilitation programme"
"2100","rehabilitation programmes"
"2101","rehabilitation programs"
"2102","rehabilitation services"
"2103","rehabilitation system"
"2104","rehabilitation therapy"
"2105","related health"
"2106","related issues"
"2107","relative risks"
"2108","relevant articles"
"2109","relevant information"
"2110","relevant journals"
"2111","relevant literature"
"2112","relevant papers"
"2113","relevant publications"
"2114","relevant studies"
"2115","relevant systematic"
"2116","relevant systematic reviews"
"2117","remaining studies"
"2118","remains unclear"
"2119","remote access"
"2120","remote areas"
"2121","remote assessment"
"2122","remote clinical"
"2123","remote communication"
"2124","remote communities"
"2125","remote delivery"
"2126","remote health"
"2127","remote hospital"
"2128","remote location"
"2129","remote locations"
"2130","remote management"
"2131","remote monitoring system"
"2132","remote patient"
"2133","remote patients"
"2134","remote regions"
"2135","remotely deliver"
"2136","reported outcome"
"2137","reported outcome measures"
"2138","reported outcomes"
"2139","reported patient"
"2140","reported results"
"2141","reported separately"
"2142","reported significant"
"2143","reporting items"
"2144","requires patients"
"2145","research agenda"
"2146","research articles"
"2147","research council"
"2148","research evidence"
"2149","research literature"
"2150","research methods"
"2151","research program"
"2152","research question"
"2153","research questions"
"2154","research studies"
"2155","resource-limited settings"
"2156","resource settings"
"2157","resource utilization"
"2158","respiratory condition"
"2159","respiratory conditions"
"2160","respiratory disease"
"2161","respiratory diseases"
"2162","respiratory failure"
"2163","respiratory failure patients"
"2164","respiratory muscle"
"2165","respiratory questionnaire"
"2166","respiratory syndrome"
"2167","respiratory syndrome coronavirus"
"2168","respiratory system"
"2169","results showed"
"2170","results suggest"
"2171","retinal image"
"2172","retinopathy screening"
"2173","retrieval system"
"2174","retrieval system online"
"2175","retrieved articles"
"2176","review aimed"
"2177","review article"
"2178","review articles"
"2179","review authors"
"2180","review authors independently"
"2181","review authors screened"
"2182","review based"
"2183","review describes"
"2184","review discusses"
"2185","review examined"
"2186","review examines"
"2187","review explores"
"2188","review focuses"
"2189","review found"
"2190","review group"
"2191","review group specialised"
"2192","review group specialised register"
"2193","review highlights"
"2194","review identified"
"2195","review included"
"2196","review manager"
"2197","review method"
"2198","review methodology"
"2199","review methods"
"2200","review paper"
"2201","review papers"
"2202","review presents"
"2203","review protocol"
"2204","review showed"
"2205","review shows"
"2206","review suggests"
"2207","review summarizes"
"2208","reviewed articles"
"2209","reviewed journals"
"2210","reviewed literature"
"2211","reviewed publications"
"2212","reviewed studies"
"2213","reviewers independently"
"2214","reviews published"
"2215","rights reserved"
"2216","rigorous research"
"2217","robust evidence"
"2218","robust studies"
"2219","routine clinical"
"2220","routine practice"
"2221","rural hospital"
"2222","rural hospitals"
"2223","rural location"
"2224","rural locations"
"2225","rural patients"
"2226","rural population"
"2227","rural populations"
"2228","rural setting"
"2229","rural settings"
"2230","sample sizes"
"2231","sample sizes ranged"
"2232","satisfaction questionnaire"
"2233","scale score"
"2234","science database"
"2235","science databases"
"2236","science direct"
"2237","scientific evidence"
"2238","scientific literature"
"2239","scoping review method"
"2240","scopus database"
"2241","scopus databases"
"2242","screening program"
"2243","search criteria"
"2244","search engine"
"2245","search engines"
"2246","search identified"
"2247","search methods"
"2248","search resulted"
"2249","search results"
"2250","search revealed"
"2251","search strategies"
"2252","search strategy"
"2253","search terms"
"2254","search yielded"
"2255","searched electronic"
"2256","searched medline"
"2257","searched pubmed"
"2258","searching reference"
"2259","searching reference lists"
"2260","secondary analysis"
"2261","secondary objectives"
"2262","secondary outcome"
"2263","secondary outcome measures"
"2264","secondary outcomes"
"2265","secondary outcomes include"
"2266","secondary outcomes included"
"2267","selected based"
"2268","selected studies"
"2269","selection criteria"
"2270","self-management education"
"2271","self-management intervention"
"2272","self-management interventions"
"2273","self-management program"
"2274","self-management skills"
"2275","self-management support"
"2276","semi-structured interviews"
"2277","semistructured interview"
"2278","sensitivity analysis"
"2279","service delivery model"
"2280","service model"
"2281","service models"
"2282","service provision"
"2283","services delivered"
"2284","services offer"
"2285","services provided"
"2286","severe acute"
"2287","severe acute respiratory"
"2288","severe acute respiratory syndrome"
"2289","severe acute respiratory syndrome coronavirus"
"2290","severe symptoms"
"2291","short message"
"2292","short message service"
"2293","short period"
"2294","shorter duration"
"2295","showed significant"
"2296","shown promise"
"2297","shows promise"
"2298","significant barrier"
"2299","significant barriers"
"2300","significant benefit"
"2301","significant change"
"2302","significant decrease"
"2303","significant difference"
"2304","significant differences"
"2305","significant effect"
"2306","significant effects"
"2307","significant impact"
"2308","significant improvement"
"2309","significant improvements"
"2310","significant increase"
"2311","significant increases"
"2312","significant morbidity"
"2313","significant reduction"
"2314","significant reductions"
"2315","significantly affect"
"2316","significantly higher"
"2317","significantly improve"
"2318","significantly improved"
"2319","significantly increase"
"2320","significantly longer"
"2321","significantly lower"
"2322","significantly reduce"
"2323","significantly reduced"
"2324","similar outcomes"
"2325","single reviewer"
"2326","sizes ranged"
"2327","skills program"
"2328","skills programme"
"2329","sleep apnea"
"2330","sleep disorder"
"2331","sleep medicine"
"2332","sleep quality"
"2333","small number"
"2334","small sample"
"2335","small sample sizes"
"2336","smartphone application"
"2337","smoking status"
"2338","social isolation"
"2339","social science"
"2340","social sciences"
"2341","social support"
"2342","socioeconomic status"
"2343","south carolina"
"2344","specialised register"
"2345","specialist consultation"
"2346","specialist consultations"
"2347","specialist nurse"
"2348","specialist services"
"2349","specific health"
"2350","specific interventions"
"2351","specific outcomes"
"2352","spectrum disorder"
"2353","spoke model"
"2354","stable chronic"
"2355","stable chronic obstructive"
"2356","stable chronic obstructive pulmonary"
"2357","stable chronic obstructive pulmonary disease"
"2358","stage criteria"
"2359","standard face-to-face"
"2360","standard practice"
"2361","statement checklist"
"2362","statistical heterogeneity"
"2363","statistical methods"
"2364","statistically significant"
"2365","statistically significant difference"
"2366","statistically significant differences"
"2367","statistically significant improvement"
"2368","statistically significant improvements"
"2369","store-and-forward teledermatology"
"2370","strategies include"
"2371","strategy division"
"2372","stress disorder"
"2373","stroke center"
"2374","stroke centers"
"2375","stroke centre"
"2376","stroke management"
"2377","stroke outcomes"
"2378","stroke patient"
"2379","stroke patients"
"2380","stroke scale"
"2381","stroke service"
"2382","stroke services"
"2383","stroke survivors"
"2384","stroke systems"
"2385","stroke treatment"
"2386","stroke units"
"2387","strong evidence"
"2388","studies addressing"
"2389","studies assess"
"2390","studies assessing"
"2391","studies compared"
"2392","studies comparing"
"2393","studies conducted"
"2394","studies demonstrate"
"2395","studies demonstrated"
"2396","studies employing"
"2397","studies evaluated"
"2398","studies evaluating"
"2399","studies examined"
"2400","studies examining"
"2401","studies focus"
"2402","studies focused"
"2403","studies found"
"2404","studies generally"
"2405","studies identified"
"2406","studies include"
"2407","studies included"
"2408","studies included patients"
"2409","studies including"
"2410","studies including patients"
"2411","studies investigated"
"2412","studies investigating"
"2413","studies involving"
"2414","studies meeting"
"2415","studies performed"
"2416","studies performed exclusively"
"2417","studies provided"
"2418","studies published"
"2419","studies ranged"
"2420","studies recruited"
"2421","studies report"
"2422","studies reported"
"2423","studies reported patient"
"2424","studies reported significant"
"2425","studies reporting"
"2426","studies restricted"
"2427","studies reviewed"
"2428","studies showed"
"2429","studies suggest"
"2430","study aimed"
"2431","study background"
"2432","study characteristics"
"2433","study compared"
"2434","study demonstrate"
"2435","study design"
"2436","study designs"
"2437","study eligibility"
"2438","study eligibility criteria"
"2439","study examined"
"2440","study findings"
"2441","study group"
"2442","study included"
"2443","study introduction"
"2444","study objective"
"2445","study participants"
"2446","study period"
"2447","study population"
"2448","study populations"
"2449","study protocol"
"2450","study quality"
"2451","study reported"
"2452","study results"
"2453","study sample"
"2454","study selection"
"2455","study showed"
"2456","study shows"
"2457","study subjects"
"2458","subgroup analyses"
"2459","subgroup analysis"
"2460","subject headings"
"2461","substance abuse"
"2462","substantial morbidity"
"2463","successful implementation"
"2464","successfully implement"
"2465","successfully implemented"
"2466","sufficient evidence"
"2467","summarized descriptively"
"2468","supplemental oxygen"
"2469","support group"
"2470","support groups"
"2471","support health"
"2472","support patient"
"2473","support patients"
"2474","support programs"
"2475","support provided"
"2476","support self-management"
"2477","support service"
"2478","support services"
"2479","support system"
"2480","support systems"
"2481","supporting patients"
"2482","surgical consultation"
"2483","surgical intervention"
"2484","surgical patients"
"2485","surgical procedures"
"2486","surrogate outcomes"
"2487","surrounding treatment"
"2488","surrounding treatment strategies"
"2489","sustained virologic"
"2490","symptom control"
"2491","symptom severity"
"2492","synchronous video"
"2493","syndrome coronavirus"
"2494","system based"
"2495","system level"
"2496","system online"
"2497","system outcomes"
"2498","system strategy"
"2499","system strategy division"
"2500","systematic literature"
"2501","systematic literature search"
"2502","systematic review aimed"
"2503","systematic review examined"
"2504","systematic reviews published"
"2505","systematic scoping"
"2506","systematic scoping review"
"2507","systematic search"
"2508","systematically evaluate"
"2509","systematically review"
"2510","systematically reviewed"
"2511","systematically searched"
"2512","systems worldwide"
"2513","target population"
"2514","technical challenges"
"2515","technical issues"
"2516","technical support"
"2517","technological advances"
"2518","technological innovation"
"2519","technological intervention"
"2520","technologies included"
"2521","technology-based intervention"
"2522","technology-based interventions"
"2523","technology assessment"
"2524","technology assessment websites"
"2525","technology assessments"
"2526","telecommunication technologies"
"2527","telecommunication technology"
"2528","telecommunications technology"
"2529","teledermatology consultation"
"2530","teledermatology service"
"2531","teledermatology services"
"2532","telehealth applications"
"2533","telehealth approach"
"2534","telehealth consultation"
"2535","telehealth consultations"
"2536","telehealth delivery"
"2537","telehealth implementation"
"2538","telehealth improves"
"2539","telehealth intervention"
"2540","telehealth interventions"
"2541","telehealth modalities"
"2542","telehealth modality"
"2543","telehealth model"
"2544","telehealth models"
"2545","telehealth offers"
"2546","telehealth platform"
"2547","telehealth platforms"
"2548","telehealth program"
"2549","telehealth programs"
"2550","telehealth service"
"2551","telehealth services"
"2552","telehealth solutions"
"2553","telehealth system"
"2554","telehealth technologies"
"2555","telehealth technology"
"2556","telehealth treatment"
"2557","telehealth versus"
"2558","telehealth visit"
"2559","telemedicine application"
"2560","telemedicine applications"
"2561","telemedicine approach"
"2562","telemedicine approaches"
"2563","telemedicine consultation"
"2564","telemedicine consultations"
"2565","telemedicine group"
"2566","telemedicine initiatives"
"2567","telemedicine intervention"
"2568","telemedicine interventions"
"2569","telemedicine model"
"2570","telemedicine network"
"2571","telemedicine offers"
"2572","telemedicine platform"
"2573","telemedicine platforms"
"2574","telemedicine program"
"2575","telemedicine programme"
"2576","telemedicine programs"
"2577","telemedicine service"
"2578","telemedicine solution"
"2579","telemedicine strategies"
"2580","telemedicine support"
"2581","telemedicine system"
"2582","telemedicine systems"
"2583","telemedicine technologies"
"2584","telemedicine technology"
"2585","telemedicine visit"
"2586","telemedicine visits"
"2587","telemonitoring intervention"
"2588","telemonitoring interventions"
"2589","telemonitoring system"
"2590","telephone calls"
"2591","telephone consultation"
"2592","telephone consultations"
"2593","telephone follow-up"
"2594","telephone support"
"2595","telepsychiatry consultation"
"2596","telepsychiatry service"
"2597","telepsychiatry services"
"2598","telerehabilitation compared"
"2599","telerehabilitation intervention"
"2600","telerehabilitation interventions"
"2601","telerehabilitation program"
"2602","telerehabilitation service"
"2603","telerehabilitation services"
"2604","telestroke network"
"2605","telestroke networks"
"2606","terms related"
"2607","tertiary hospital"
"2608","themes emerged"
"2609","therapeutic approach"
"2610","therapeutic approaches"
"2611","therapeutic intervention"
"2612","therapeutic interventions"
"2613","therapy sessions"
"2614","theta website"
"2615","timely access"
"2616","tissue plasminogen"
"2617","toronto health"
"2618","toronto health economics"
"2619","total cholesterol"
"2620","total score"
"2621","total scores"
"2622","traditional face-to-face"
"2623","traditional in-person"
"2624","training program"
"2625","traumatic brain"
"2626","traumatic stress"
"2627","traumatic stress disorder"
"2628","travel burden"
"2629","travel distance"
"2630","treat patients"
"2631","treating patients"
"2632","treatment approach"
"2633","treatment approaches"
"2634","treatment decisions"
"2635","treatment delivered"
"2636","treatment delivery"
"2637","treatment effect"
"2638","treatment effects"
"2639","treatment group"
"2640","treatment modalities"
"2641","treatment modality"
"2642","treatment model"
"2643","treatment option"
"2644","treatment options"
"2645","treatment outcomes"
"2646","treatment planning"
"2647","treatment plans"
"2648","treatment program"
